stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,4.09,0,0,0,0,0,4.09,0,0,0,4.09,0,69.47,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,3.21,0,0,3.21,0,3.21,0,0,4.28,17.12,0,1.07,0,0,6.42,0,0,0
21Day,0,2.68,5.35,0,0,0,0,1.34,0,0,5.35,6.69,2.68,0,0,0,1.34,0,0,0,1.34,2.68,0,0,4.02
3Month,0,0.32,3.2,0.32,0.96,0,5.44,0,1.28,0.64,1.28,0.96,0.32,0.32,0.64,0.32,0.32,0.32,0,0.32,2.24,0,0.32,11.2,0.32
22Month,0.55,1.64,2.73,2.73,6.56,1.09,26.24,1.09,1.09,0,0.55,1.64,1.09,0,0,0,0,0.55,0,0,4.92,0.55,0,0,2.19
