stage,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,4.09,0,4.09,4.09,4.09,73.56,0,0,0
72hpf,3.21,1.07,0,4.28,0,4.28,0,0,0
21Day,0,0,0,5.35,0,2.68,1.34,1.34,1.34
