stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,1.07,0,0
21Day,0,0,14.72,1.34,2.68,0,0,0,0,0,1.34,1.34,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0.32,12.48,0,24.96,0.32,0,2.24,0.32,1.6,0.64,0.96,0.32,0.32,0.32,0.64,0.32,0,0,0,2.24,0,15.04,0.32
22Month,0,0,1.64,0,6.01,0.55,0,2.73,0.55,1.09,0.55,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0
