stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,24.61,3.21,3.21,0,0,2.14,21.4,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,9.37,0,0,0,1.34,1.34,0,6.69,0,0,0,10.71,0,6.69,1.34,0,0,13.39,1.34,1.34,0,0,0
3Month,0,0,0.96,2.88,0,0,0.32,25.92,1.6,0,0.96,0.32,0.96,1.6,0.96,0,0.32,0.32,0.32,0,0,0.32,0.64,0,0.64,0,0,0.32,0.96,0.64
22Month,0,2.73,0,3.28,0.55,1.09,2.73,44.83,0.55,1.09,7.11,0.55,1.09,2.19,8.75,1.09,0,0,0.55,0,0,0,0.55,1.09,33.35,0,0,0.55,0,0.55
