stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,61.3,0,0,40.86,232.93,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,5.35,1.07,3.21,0,0,0,0,0,0,0,0,1.07,12.84,0,51.35,0,0,42.79,81.3,0,42.79,0,0,12.84,0,1.07,0,0,0
21Day,14.72,4.02,33.46,1.34,24.09,0,8.03,1.34,1.34,0,1.34,2.68,1.34,2.68,14.72,2.68,81.65,8.03,0,24.09,37.48,2.68,34.8,6.69,0,2.68,1.34,0,1.34,0,4.02
3Month,0,0,2.88,0,0,0.32,0,0,0.32,0,1.92,0,0.32,0.32,0.64,0,0.32,0,0.32,0,0,0,0,0,1.28,0,0,0,0.32,0.32,0.32
22Month,0.55,1.64,1.64,0,0,0,0,0,0,1.64,4.37,0,0,0.55,0.55,0.55,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0,2.19
