stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,4.28,0,0,0,0,4.28,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0.32,0.32,0.32,1.6,0.96,0.64,0,0,0,0.64,0.64,0,0.64,0,0,0,0.64,31.67,0,0,0.32,2.56
22Month,0,0,0,1.09,0,0,0.55,0,0,0.55,0,0,0,0,0,9.84,0,0,5.47,0,0,0,0
