stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,6.42,4.28,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,8.03,1.34,0,0,0,0,0,2.68,1.34,0,0,0,0
3Month,0.64,5.44,0.64,10.88,0.32,0.32,4.8,0.96,0,44.79,2.24,1.28,12.8,2.56,5.12,1.6,4.48,0.96,0,2.24,2.24,1.28,0,3.2,0.64,0.32,0.64,24.96,0.96,0,0.32,4.16,29.44,4.16
22Month,0,2.73,0,6.56,0.55,0,0.55,0,1.64,67.24,0.55,2.73,7.11,0,0.55,7.11,3.28,0,1.09,1.64,0,2.73,0,1.09,0.55,0,0,2.73,1.09,0.55,0,0,0,0.55
