stage,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,0
21Day,2.68,1.34,0,0,1.34,1.34,0
3Month,0.32,0,0.96,0.32,0,0,1.92
