stage,Cardiomyocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Radial_glia
72hpf,0,0,0,0,1.07,0,1.07,1.07
21Day,1.34,0,0,0,0,0,0,0
3Month,0,0,0.32,0.32,0,0.32,0,0
22Month,0,0.55,0,0,1.09,0,0,0
