stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
21Day,1.34,0,2.68,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,2.68,0
3Month,0,0,0,0,0,0,0,0,0,0.32,0.64,0,0,0,0,0.96,0,0,0
22Month,0,3.83,0,0.55,1.09,1.09,7.11,0,8.75,0,0,1.09,0.55,0.55,0.55,0,0.55,0,1.09
