stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,12.26,36.78,0,0,0,0,28.6,474.02,0,0,0,8.17,0,0,0,0,4.09,0,0,0
72hpf,2.14,2.14,0,6.42,3.21,5.35,0,3.21,0,1.07,0,0,0,4.28,0,2.14,6.42,2.14,18.19,0,0,1.07,1.07,68.47,95.21,1.07,0,0,17.12,0,1.07,7.49,1.07,1.07,0,0,0
21Day,5.35,4.02,0,17.4,1.34,24.09,0,25.43,0,4.02,0,2.68,0,4.02,2.68,1.34,8.03,5.35,26.77,1.34,0,2.68,0,33.46,29.45,0,4.02,0,8.03,4.02,5.35,5.35,2.68,1.34,0,0,1.34
3Month,0.32,1.6,1.6,21.76,0,0,0.96,0.96,1.28,6.08,0,13.76,5.76,2.24,13.76,1.6,4.48,5.44,3.84,1.28,0,1.6,1.92,2.88,0.96,0.64,0.64,0,0,2.24,159.01,0,0,0,4.16,45.75,4.16
22Month,0,2.73,0.55,10.93,0,0,1.09,1.09,1.64,16.95,2.73,55.76,8.2,6.01,7.65,0,2.19,13.12,7.11,0,1.09,2.19,0,1.09,0.55,0.55,0,1.64,1.09,0,24.05,0,0,0,1.09,0,2.73
