stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,8.17,8.17,0,0,0,0,24.52,0
72hpf,0,0,0,0,0,1.07,2.14,1.07
21Day,0,1.34,0,0,1.34,1.34,2.68,0
22Month,0,0,0.55,1.09,0,0,0,0
