stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,14.98,0,3.21,0,0,0,0,0,0,0,3.21,0,0,0,0
21Day,1.34,1.34,0,25.43,2.68,1.34,0,0,2.68,0,0,5.35,0,1.34,4.02,0,24.09,2.68,21.42,0,0,2.68,0,1.34,0,0,1.34,2.68,0,0,0
3Month,0.64,2.24,0,9.28,0,0,0.32,0.64,1.28,0,0,26.24,1.6,0,7.36,0,20.48,2.24,2.88,0.96,0,1.28,1.92,0.32,0.32,0,0,0.32,1.6,1.6,0.64
22Month,0,1.64,0.55,4.37,0,0,1.09,0,1.09,7.11,0,67.79,1.09,3.28,6.56,0.55,6.56,13.67,19.68,0,1.09,1.09,0,0,0,0.55,0,0.55,0,0,1.09
