stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,12.84,2.14,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,9.37,2.68,0,0,0,0,0
3Month,0,0.64,0.32,1.92,0.32,0.96,0.32,0.32,0.96,0,0.32,7.36,0.32,30.08,0.32
22Month,0,0,0,3.28,0,1.09,0,0,0,0,0,2.19,0,0,0
