stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0.64,2.24,1.28,0.32,0,3.52,0,0.32,0.32,0.32,5.12
22Month,0,0,1.64,0,0,0,0,0,0,0,0
