stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,4.09,0,0,0,24.52,0,0,0,0,4.09,461.76,0,24.52,0,0,535.32,57.21,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,1.07,0,26.74,4.28,0,0,0,0,0,0,0,0,0,0,3.21,814.11,1.07,4.28,1.07,1.07,109.12,16.05,0,0,6.42,0,0,5.35,1.07,0,2.14,0,0,0
21Day,5.35,0,0,254.32,9.37,0,1.34,1.34,0,0,0,5.35,0,2.68,1.34,5.35,659.9,1.34,10.71,0,1.34,41.49,8.03,0,0,4.02,8.03,0,2.68,1.34,5.35,0,0,0,1.34
3Month,0,0.64,0.96,166.05,0,0.32,0,0.64,1.6,0,0,105.9,0.96,0,4.8,17.28,5.76,2.56,0.96,0,0.32,13.76,0.32,0.32,4.48,0.32,2.24,3.52,0,0,0,0,0.96,0.64,1.6
22Month,0,0,0,14.21,0,0,0,0,1.64,0.55,0,36.08,0,1.09,0.55,2.19,0.55,1.64,0,0.55,0,4.92,0,0,0.55,0,2.19,1.09,0,0,0,0.55,0,0,0
