stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,31.02,0,0,0,1.07,4.28,0,1.07,1.07,1.07,0
21Day,22.76,1.34,1.34,1.34,0,1.34,1.34,0,0,17.4,1.34
3Month,0.32,0,0,0,0,0.32,0,0,0,0,0
