stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,1.07,1.07,7.49,6.42,2.14,0,0,0
21Day,0,5.35,2.68,2.68,1.34,4.02,1.34,2.68,1.34,1.34,0,0,8.03,1.34
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0,0.32,0,0
22Month,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0
