stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,44.95,0,0,0
72hpf,2.14,0,0,1.07,0,1.07,2.14,0,0,0,10.7,3.21,1.07,0,0
21Day,0,1.34,6.69,0,0,0,0,1.34,8.03,1.34,6.69,1.34,0,1.34,1.34
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
