stage,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,5.35,1.07,3.21,0,0,0
21Day,0,0,0,0,0,0,0,0,8.03,1.34,0,1.34,0,0
3Month,0.32,0.32,0,1.28,0,0,0,0.32,0,0,0,0.32,1.6,0.64
22Month,0.55,0,1.09,1.09,0,0,0.55,0,0,0,0,0,0,0
