stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,5.35,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,5.35,0,0,0,0,10.7,7.49,0,0,2.14,0,0,2.14,0,0,0,0,0,0
21Day,1.34,1.34,25.43,10.71,0,8.03,0,0,0,0,1.34,0,1.34,0,0,14.72,9.37,8.03,0,0,1.34,0,12.05,2.68,0,2.68,6.69,1.34,0,1.34,1.34,6.69,2.68,0,0,4.02
3Month,0,1.92,20.8,0,0.64,0.32,0,0.96,16.64,0,18.24,19.2,1.6,3.52,4.8,5.44,16,8.32,2.24,0,1.28,1.6,2.24,0,0.96,0.64,0.32,0.32,2.24,1.28,0,0,0.32,2.24,8.32,6.4
22Month,0.55,0.55,8.75,0,1.09,0,0.55,0,15.31,9.29,62.87,12.03,1.64,9.84,0.55,1.64,7.65,7.65,1.09,1.09,0.55,0.55,0.55,0,1.09,1.64,0,0.55,0,3.28,0.55,0,0,0.55,0,6.56
