stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,5.35,0,0,0,0,0,0,0,0,0,2.14,3.21,4.28,8.56,0,0,0,52.42,8.56,0,0,2.14,0,0,1.07,0,0,0,0,0,0
21Day,6.69,1.34,0,14.72,1.34,1.34,0,0,0,0,0,2.68,0,0,8.03,2.68,10.71,0,1.34,0,20.08,16.06,0,0,4.02,1.34,0,4.02,6.69,2.68,0,0,0,0
3Month,0,0.32,0,4.48,0.32,0,0.96,0.32,0,4.48,0.64,0.64,0.64,0.32,1.6,1.28,0.96,0,2.56,0.32,0.32,0,0.32,0.32,0,0,0.96,0.32,0,0,0.64,2.88,1.6,0.64
22Month,0,2.19,1.09,2.73,0.55,0.55,1.64,0.55,6.01,26.79,1.09,0.55,2.73,0,0,1.64,2.19,0.55,0,0.55,1.09,0,0,0,0,0,0.55,1.09,1.09,0,0,0,0,1.09
