stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,4.09,0,0,0,0,4.09,0,0,49.04,0,4.09,0,0,0,0,0
72hpf,3.21,0,4.28,0,0,0,0,0,1.07,0,0,12.84,5.35,0,3.21,0,0,3.21,0,0
21Day,2.68,0,4.02,0,0,0,0,0,4.02,1.34,1.34,6.69,0,0,2.68,1.34,0,0,0,0
3Month,0,0.64,1.6,0.32,0,0.64,0.32,0.96,1.6,1.6,0,0.32,0,0.32,0,0,11.2,0,0.32,14.08
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
