stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,17.12,0,0,0,0,0,1.07,0,1.07,1.07,0,0,1.07,0,2.14
21Day,8.03,0,0,0,0,0,4.02,0,0,0,0,0,0,1.34,12.05
3Month,0,0.32,0.96,0,0,0.32,0.32,0,0,0,0.32,0.32,0,0,0
22Month,0,0,7.65,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0
