stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,12.26,159.37,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,5.35,2.14,6.42,0,0,0,0,0,0,0,0,0,1.07,6.42,2.14,14.98,0,0,0,0,907.18,23.54,0,6.42,11.77,1.07,0,6.42,1.07,1.07,2.14,0
21Day,1.34,0,0,4.02,0,8.03,0,4.02,0,0,0,0,0,5.35,4.02,0,5.35,2.68,8.03,0,0,0,0,315.89,10.71,0,2.68,2.68,8.03,1.34,2.68,2.68,0,0,1.34
3Month,0,0,0.32,4.48,0,0,0,0,0.64,0,0.32,2.56,1.92,0.32,0.64,0,1.28,0.64,2.88,1.28,0,0.32,0.32,12.16,0.96,0.32,1.6,0,0,1.6,0.32,0,0,0,0.64
22Month,0.55,0.55,0,3.83,0,0,0.55,0,0,2.73,0.55,28.97,0,0.55,2.73,0,0.55,2.73,8.75,0.55,0.55,1.64,0,15.85,0.55,0,1.09,3.28,0,15.85,3.28,0,0,0,1.09
