stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,32.09,0,0,0,0,0,1.07,0,0,0,2.14,0,7.49,0,0,35.3,35.3,0,1.07,58.84,0,0,0,0,2.14,0
21Day,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,1.34,0,1.34,0,0
3Month,0,0,0,0,0.64,0.96,2.56,0,2.24,2.24,0.64,3.2,0,1.6,0.32,0,1.28,0,0,0.32,0,0,0,0,0,0,0.32,0.96
22Month,0,0.55,0.55,6.56,0,0,0,0,13.12,0.55,0.55,0,0,0.55,1.09,1.64,0,0,0,0,0,0,3.83,0,0.55,0,0,1.64
