stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,0,0,59.91,0,0,0,0,0,26.74,0,0,1.07,0,0,2.14,0,0,0,0
21Day,1.34,0,0,2.68,5.35,5.35,0,0,0,0,0,0,0,4.02,0,1.34,4.02,0,2.68,0,0,0,100.39,1.34,0,2.68,1.34,0,1.34,1.34,2.68,0,1.34
3Month,0,0,0.32,8,0.96,0,0.64,0,0.32,0,0,1.92,0.32,0,1.6,0.96,1.6,0.64,0.32,0,0,0.32,1.92,0,0,0,0,0.64,0.64,0,0,0.32,0.32
22Month,0,1.09,0.55,8.75,0,0,2.19,1.09,0,2.19,4.92,392.5,0.55,0,6.56,0,0,2.19,3.83,24.05,0.55,0,4.37,0,1.09,0,0,1.64,1.64,0,0,0.55,0.55
