stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,2.14,0,0,9.63,0,0,0,0,1.07,0
21Day,2.68,0,0,0,0,0,1.34,2.68,0,1.34,4.02,0,0,1.34
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0.55,1.09,6.01,0,0.55,0,0,0,0,0,0,0,0
