stage,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0,0,0,0,0,0,0,0,0,0.64
22Month,2.19,7.65,1.09,0.55,0,0.55,0.55,1.64,0.55,1.64,0
