stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,18.19,3.21,1.07,0,0,0,0,0,0,1.07,0,0,0,0,2.14,43.86,0,36.37,0,0,0,0,4.28,2.14,0,0,23.54,0,1.07,1.07,1.07,0,0,0
21Day,9.37,0,1.34,200.78,0,6.69,0,0,0,1.34,0,0,0,1.34,0,0,0,12.05,164.64,5.35,80.31,0,0,6.69,0,10.71,6.69,0,2.68,25.43,5.35,0,2.68,2.68,0,0,1.34
3Month,0.64,1.92,0.96,526.64,0,0,2.24,0,0.64,2.56,5.12,0,0,16.64,6.08,0.96,8,31.99,91.19,29.44,24.96,3.52,0,0.96,1.28,4.16,0,1.28,1.92,0,4.16,4.8,0.32,0,14.08,3.52,4.16
22Month,0,3.83,3.83,208.28,0,0,0.55,0.55,0,1.64,6.56,0.55,0,15.85,0,0.55,2.73,10.39,34.44,16.95,31.71,0,0.55,1.09,0,1.64,0,0.55,0,0,0,14.76,0,0,0.55,0,2.19
