stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,3.21,0,0,0,0,3.21,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,2.68,0,0,0
3Month,0.32,0.32,0.32,7.68,0.32,0,0.96,0.64,11.52,1.28,0.32,0.96,1.28,0.96,1.28,0.32,0.32,3.2,0.64,0.32,0.64,1.6,66.55,0.32,0.32,0,0.64,208.29,0.64
22Month,0,0,0,0.55,0,0.55,0,0,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0
