stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,7.49,1.07,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,1.34,0,0,8.03,4.02,0,0,1.34,1.34,0,0
3Month,0.32,0.96,0.96,2.56,0.64,0,0.96,0.32,0,1.28,0,0,0,0,0,0.32
22Month,0,0,7.11,20.23,1.09,0,0,0,0,2.19,0.55,0.55,0,0,0.55,0
