stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,0,27.81,0
21Day,0,1.34,1.34,0,0,0
3Month,0,0.32,0.32,0,0,0.32
22Month,1.09,0,0,0,0.55,0
