stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,69.47,8.17,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,0,0,2.14,92,0,0,0,0,4.28,4.28,0,1.07,0,0,1.07,0
21Day,1.34,0,41.49,0,1.34,0,0,0,2.68,0,6.69,61.57,0,4.02,0,0,4.02,0,1.34,0,1.34,0,0,0
3Month,0,0.32,6.72,0,0,0.32,0,2.56,0,0.32,0,1.28,0.32,0.96,0,0.96,0,0,0.32,0,0,3.2,0,0.64
22Month,0,0,1.64,0,0,0,0.55,7.11,0,0,0,0,0.55,0.55,1.09,0,0,0,0,0,0,1.09,0,0
