stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,4.09,57.21,0,0,8.17,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,1.07
21Day,2.68,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0,2.68,0,1.34,0,0,1.34,0,0,4.02
3Month,0,0.32,0,1.28,0,0,0,0,1.28,0,0.64,0.96,0,0,0.32,0.64,0,0.32,0,0,0.32,0,0,0.32,5.12,0
22Month,0,0,0.55,2.19,0,0,0,1.64,9.29,1.09,0.55,10.39,0,4.37,1.64,0,0,0.55,0,0,0,0.55,0,0,6.56,0
