stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,2.14,0,0,0,1.07,178.66,9.63,0,0,0,5.35,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34,0,0,1.34,0,9.37,0,0,0,0,32.12,2.68,2.68,0,0,4.02,1.34,1.34,0,0,0,0,0,0
3Month,0,0,0.32,4.8,0,0,1.28,0.96,0,4.16,2.88,0,2.24,1.28,0.96,4.8,12.8,2.88,0,0.96,0.64,0.64,0.32,1.28,0.32,0,0,0.64,60.47,0.32,0,0,0.32,12.48,0.32
22Month,0,3.28,1.09,20.23,0,0.55,1.09,1.64,1.09,25.15,0,0.55,4.37,1.09,1.64,7.65,12.03,0,0.55,0.55,0.55,0.55,0,0.55,1.09,4.92,0.55,0,23.51,0,0.55,0,0,0,1.09
