stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09,0,0,4.09
72hpf,1.07,0,0,0,0,0,0,0
22Month,0,0.55,0.55,13.67,0,0.55,1.64,0
