stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.64,0.96,0.96,0,0,1.28,0.96,0.32,0.64,0,1.28,1.28,0,0.32,0.32,0,0,0.32,14.4,0.32,0.32,0.64,1.28
22Month,0,0,0.55,0,0.55,0.55,4.92,0,0.55,1.64,0,0.55,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,0
