stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,1.34
3Month,0.32,0.32,0,3.2,0.32,0.96,0.96,0,6.72,0.64,0.32,6.4,1.92,2.24,0,0,0.32,0,2.24,0.32,0.96,3.52
22Month,0.55,0,0.55,1.64,0,0,3.28,0.55,13.12,0.55,0.55,7.65,0.55,2.19,1.64,1.09,0.55,0,1.09,0,0,0.55
