stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,17.12,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,6.42,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,37.48,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,18.74,0,0,2.68,0,2.68,2.68,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0.96,0.96,0.32,6.4,6.4,0,0.32,0.32,0.32,1.6,0.96,12.48,0.64,0.32,2.56,0.64,2.56,0.96,43.19,6.08,0.32,3.84,0.32,0,1.6,2.56,0.32,0,0.32,0.96,16.64,0,0.96,0.64,17.92,0.96
22Month,0.55,0,0.55,6.01,4.37,0,2.19,0,0,0.55,0,15.31,0,0.55,1.09,0,0.55,0.55,48.11,1.09,0.55,1.64,0,0.55,0,7.65,0.55,0.55,0.55,0,3.83,0,0.55,0,0,0
