stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,5.35,0,27.81,40.65,63.12,0,2.14,1.07,0,1.07,0,66.33,53.49,7.49,826.95,2.14,2.14,0,284.56,134.79,1.07,1.07,70.61,0,33.16,1.07,1.07,1.07,0
21Day,28.11,5.35,1.34,88.34,2.68,60.23,16.06,4.02,18.74,1.34,28.11,6.69,5.35,36.14,9.37,282.43,0,8.03,1.34,97.71,44.17,4.02,2.68,30.79,18.74,4.02,8.03,13.39,2.68,25.43
