stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,65.38,0,0,0,0,0,8.17,0,441.33,0,0,0,0,20.43,77.64,281.96,28.6,0,0,0,0,40.86,126.68,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0
72hpf,2.14,1.07,0,11.77,0,1.07,0,0,0,4.28,0,0,0,0,2.14,0,8.56,130.51,9.63,5.35,0,0,0,0,16.05,3.21,0,0,0,4.28,0,0,0,0,1.07,0,4.28,0,0,0
21Day,2.68,0,1.34,120.47,0,10.71,0,0,1.34,1.34,0,0,1.34,1.34,0,13.39,0,190.07,9.37,5.35,0,0,0,0,8.03,2.68,1.34,0,0,4.02,2.68,0,0,0,4.02,1.34,4.02,0,0,1.34
3Month,0.96,3.52,11.2,176.93,0.32,0,4.48,0,68.47,222.04,0,0,787.4,417.21,0.64,319.63,5.44,25.92,69.75,9.28,2.56,0.96,16.96,4.8,0.32,0,3.84,1.92,0,0,10.24,2.24,4.8,0.32,0,0,0,12.16,6.08,5.76
22Month,0.55,8.2,20.23,64.51,0,0,3.83,0.55,109.88,447.71,2.19,0,1507.67,147.05,2.19,783.36,2.73,10.93,201.17,16.95,0,19.13,13.12,0,1.09,0,10.39,3.28,2.19,0.55,2.73,0,3.28,1.09,1.64,0,0,0.55,0,4.37
