stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,1.07,5.35,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
3Month,0,0.32,2.56,0,0.64,0.32,3.2,0,2.56,0,4.16,0,0.32,0.64,0,0,0,8.96,0,22.4,0
22Month,0.55,2.19,1.64,0,0,0,2.19,2.19,11.48,0.55,13.67,0,0,0,0,0,0.55,0,0.55,0.55,0.55
