stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Neural_progenitor_cell,Radial_glia,Spermatocyte
72hpf,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,0
3Month,0,0.32,0,0,0.32,0,0,0.32
22Month,0,0,0.55,1.09,0,0,0,0
