stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,28.6,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,12.05,0,0,0,0,0
3Month,0,66.87,1.6,2.88,1.92,0,0,1.6,1.92,0.96,2.56,0.32,1.28,1.6,1.28,0.32,0.32,0.32,0,1.28,0.32,0,1.28,0.96,0,1.28,0.32,0.96
22Month,0,174.93,1.09,1.64,0,0.55,0,13.67,2.73,0,1.09,0.55,0.55,1.09,1.64,0,0.55,0.55,0,1.09,0.55,0.55,1.64,0.55,0.55,0,0,0
