stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0.32,0,0,0,0.32,0,1.92,1.28,0.32
22Month,0,1.09,0.55,0,0,0,0,2.73,0,0
