stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0
21Day,0,10.71,2.68,0,0,0,0,0,0,0,0,0,2.68,0,1.34,12.05,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,83.51,0,0,0.32,0.96,0.96,5.76,0.64,0,3.52,7.36,39.67,0.32,1.6,22.08,0.96,0.32,3.84,0.64,0.32,1.28,9.28,0.32,0,11.84,5.44,1.28
22Month,0,45.92,0,1.64,0,1.09,2.19,8.75,1.09,0.55,2.19,2.73,14.76,2.19,2.19,9.84,0,0,3.28,0,0,0,9.29,0,0,3.28,0,0.55
