stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,4.02,0,0,0
3Month,0.96,0.32,0.32,0,0.64,1.92,0.96,1.92,0.32,0.96,0,0,0,0.32,81.59,0.32,48.31,0.64
22Month,0.55,0,0.55,0.55,0.55,4.37,0,1.09,0,0.55,0,0,0,0,51.39,0,0,0
