stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,10.7,0,0,2.14,0,0,2.14,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,9.6,0.32,0.32,0.32,0.96,0.64,0,17.28,1.28,0,8.96,0.96,2.88,2.56,4.48,1.28,0.32,0.96,1.6,1.6,0,0.64,0.32,0.32,0.64,0.96,0,0,0,1.28,0.64,0.64
22Month,0.55,0,0.55,7.65,0,0.55,0,3.28,3.83,4.92,40.45,2.19,0.55,4.92,0,1.64,2.19,6.56,0,2.73,1.09,0,2.19,0,2.19,0,0,0.55,0.55,3.83,0,1.09,0.55,0,1.09
