stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,102.16,0,8.17,0,0,0,0,0,4.09,0,0,0,4.09,4.09,126.68,4.09,265.62,0,0,0,4.09
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,4.28,1.07,2.14,7.49,5.35,1.07,0,0,0
21Day,4.02,0,14.72,1.34,1.34,1.34,0,0,0,0,1.34,0,2.68,0,6.69,10.71,2.68,5.35,1.34,1.34,0
22Month,0,1.09,1.09,0,0,0,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0
