stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0,4.28,0
21Day,0,0,1.34,0,0,2.68,0,0,1.34
22Month,0,1.64,0.55,4.37,0.55,0,0,0,0
