stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,93.99,0,98.07,12.26,4.09,0,0,0,0,0,16.35,0,0,0,0,4.09,24.52,57.21,290.13,0,4.09,151.2,18356.13,0,0,0,61.3,0,0,8.17,0,0,53.12,0,0,0
72hpf,17.12,24.61,0,9.63,2.14,7.49,0,1.07,0,0,0,0,0,0,0,0,4.28,19.26,1.07,82.37,0,0,166.89,1202.45,0,0,0,69.54,0,0,262.1,0,0,71.68,0,0,0
21Day,6.69,25.43,0,29.45,6.69,20.08,0,4.02,0,0,0,0,4.02,0,2.68,2.68,0,10.71,1.34,89.68,0,10.71,65.59,567.54,2.68,5.35,0,32.12,18.74,0,115.11,1.34,5.35,34.8,0,0,10.71
3Month,0.32,60.79,0.32,48.95,0,0,0.32,0.64,1.92,1.92,0.32,0,6.4,1.6,0.32,3.2,0.32,2.24,0.32,13.44,0.96,2.88,1.28,3.2,0.64,0.64,0,1.28,1.92,18.88,1.6,0,0,8.64,140.46,2.88,1.6
22Month,0,60.68,0,47.01,0,0,0,0,0.55,3.28,28.43,0,28.97,1.64,0,2.73,0,1.09,1.64,10.39,0,2.19,0,4.92,0.55,1.09,1.09,0,0,6.01,3.83,0,0,2.73,33.89,0,0.55
