stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.92,18.88,2.88,0,74.87,0.96,11.2,0.64,0,2.56,0.64,2.88,1.6,1.28,0.32,0,0.64,0.32,0.64,0.32,1.28,0.32,1.28,0.32,0.64,0.96
22Month,0.55,0.55,3.28,0.55,0,4.92,0,14.76,0,0,0,0,0,0,1.09,0,0.55,0,0,0,0,1.64,0,0,0.55,0,0
