stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,68.47,1.07,0,0,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,5.35,2.68,0,0,0,0,0,0,2.68,1.34,120.47,1.34,1.34,1.34,0,4.02,2.68,0,1.34,1.34,2.68,0,0
3Month,0,0,1.6,0,0.64,0.32,2.56,0.32,0.96,0.64,0.32,1.28,1.92,0,0,0,0,0,0,0.96,0,0,0,0.32,0.32
22Month,0,0.55,1.64,0,0,0,11.48,1.64,3.28,0,0.55,0.55,1.64,0,0.55,0.55,0.55,0,0,1.64,0,0,0,0,0
