stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,8.17,0,0,0,0,12.26,4.09,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,2.68,4.02,1.34,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0
3Month,0,0.32,4.48,0,0.32,0.96,0.64,0,6.08,1.6,0.32,0.32,1.28,0.96,1.28,0,0.32,0.64,0,0.96,0,0.32,76.15,0.32,0.64,78.71,0.96
22Month,0,0,0.55,0,0.55,0,0,0,0.55,0,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,30.07,0,0,1.09,0
