stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,4.09,24.52,0,8.17,380.04,8.17,0,0,0,0,0,0
72hpf,0,4.28,3.21,0,0,0,1.07,0,6.42,0,11.77,49.21,7.49,0,1.07,0,0,0,0
21Day,9.37,9.37,29.45,6.69,4.02,1.34,0,1.34,8.03,1.34,6.69,41.49,5.35,0,2.68,4.02,1.34,0,5.35
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0.32,0.32
