stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,3.21,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,0,0,394.75,29.95,0,1.07,5.35,0,0,3.21,2.14,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,1.34,0,96.37,21.42,0,0,0,5.35,1.34,1.34,1.34,0,0,0
3Month,0,0.32,28.16,0,0,0,0.64,0.96,0,4.16,1.6,0,1.92,0.64,12.16,1.6,1.28,0,0,0.32,1.28,0.64,0,0,0,0.32,15.68,0,0,0.64,21.12,0
22Month,0,0.55,4.92,0.55,0,0.55,0.55,5.47,3.28,18.59,0.55,0.55,0.55,0,3.83,1.64,0.55,0.55,1.64,0,1.09,0,1.64,0,0,0,6.56,0,0,0,0,0.55
