stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.64,1.28,0.64,0.96,2.56,0.32,15.36,0.64,0.64,0,0.32,3.84,3.84,1.28
22Month,0,0,0,0,0.55,7.65,0,1.09,1.09,0,0,0,0,0,0.55
