stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0
3Month,0.96,0.64,4.8,0,0.96,0,5.44,1.6,4.48,0.64,1.6,1.28,1.6,0.32,0.96,0.32,0.32,0.32,0,1.6,264.28,0.32,0,1.28,14.4,1.92
22Month,0.55,0,1.09,0,1.09,0.55,8.2,0.55,1.64,0,0,0.55,0.55,0,0,0,0,0,43.19,0.55,114.25,0,0,0,0,0
