stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,98.07,0,0,0,0,8.17,40.86,0,0,0,0,8.17,8.17,32.69,77.64,0,0,0,4.09,57.21,805.02,4.09,0,16.35,0,0,0,12.26,0,0,0
72hpf,1.07,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,0,6.42,0,0,0,0,59.91,11.77,0,0,5.35,0,0,0,1.07,0,0,0
21Day,0,0,0,2.68,17.4,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,12.05,6.69,0,0,4.02,2.68,0,0,0,0,0,0
3Month,0,2.24,0,8.32,0,0.64,0,0.64,7.36,0,203.17,3.2,0.32,12.48,0.96,1.92,2.24,6.08,2.88,0.64,2.24,1.92,0.32,0.32,1.92,0.64,0,5.12,2.56,0.32,0,0.64,2.88,1.6
22Month,0,0.55,0.55,2.73,0,0.55,2.19,0.55,8.2,0,78.17,2.19,2.73,3.83,0.55,0,5.47,6.01,1.64,2.73,0.55,0,0,0,1.09,0,0,0,1.09,0,0,0,0.55,1.64
