stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0
3Month,1.6,0.64,0.32,1.28,0.64,0.32,0.64,0.32,0.64,0.32,0.32,0.32,56.31,4.48,0.64
22Month,0,0,0.55,0,0,0,0,0,0,0,0,0,4.37,0,0
