stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,4.09,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,8.17,208.41,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,4.28,1.07,0,0,0,0,0,0,0,0,9.63,0,7.49,0,0,7.49,10.7,0,10.7,0,0,3.21,0,1.07,0,0,0
21Day,2.68,0,0,10.71,2.68,1.34,0,0,0,0,0,0,0,2.68,1.34,25.43,0,2.68,4.02,4.02,0,17.4,0,0,1.34,1.34,0,0,0,0
3Month,0.32,0.64,0,4.48,0,0,0.96,0.64,0,10.24,0.64,1.28,0.96,4.8,0.96,8.64,1.28,0.64,0,0,0.32,0,0.32,0.32,0,0,0,0.32,21.44,0.64
22Month,0,0,0.55,0.55,0,0,0,0,0.55,10.93,0,1.09,0,0,1.64,1.64,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0
