stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,16.35
72hpf,0,1.07,2.14,2.14,1.07
21Day,0,0,1.34,0,0
