stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,163.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,16.35,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,123.03,0,0,2.14,1.07,0,0,0,0,0,0,0,0,2.14,3.21,0,3.21,1.07,0,0,8.56,7.49,0,0,0,0,0,1.07,1.07,0,0,0
21Day,89.68,0,0,2.68,0,0,0,1.34,0,0,0,0,0,1.34,2.68,0,1.34,0,2.68,0,1.34,0,0,0,0,2.68,0,5.35,0,0,0,0
3Month,30.08,0.96,0.64,6.08,0,0,1.6,1.28,0,5.76,2.24,0.32,3.84,0.64,1.6,2.88,2.56,0,5.76,1.92,0,0,0.32,0.32,0,0.32,0.64,132.14,1.6,0.96,159.33,2.24
22Month,13.67,1.09,0,0,0,0.55,0,0,31.71,22.96,0.55,0,2.73,0,1.09,0.55,4.37,0.55,8.2,0,0.55,0,0.55,1.09,1.09,0,0,155.8,23.51,1.09,0.55,1.09
